title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
Samar,,9.7,['Ayush Upadhyay'],"['Ayush Upadhyay', 'Sarthak Choubey', 'Deepa Dubey']","['Ayush Upadhyay', 'Gargi Modi', 'Divita Seerwani', 'Sanjay Nanda', 'Madhuresh Jyotishi', 'Puneet Nanda', 'Sarthak Choubey', 'Sudhanshu Gaur', 'Sourabh Nanda', 'Dwarka Sahu', 'Sanil Tamrakar', 'Sanjay Yadav']","['Action', 'Drama']","October 25, 2024 (India)",['Hindi'],['U9 Films']
Kaansya,,,['Aditya Watts'],"['Aditya Dabas', 'Aditya Watts']","['Sahil Sethi', 'Lakshya Goel', 'Kritika Pande', 'Vaarun Bhagat', 'Gunnit Cour', 'Raj Gahlawat', 'Nirnay Godlaw', 'Rakesh Ji', 'Sakshi Kakkar', 'Vishvajeet Oberoi', 'Kushal Rao', 'Surendra Sagar', 'Sahil Sethi', 'Ashish Sharma', 'Ritesh Singh', 'Ankur Solanki', 'Abhishek Talwar', 'Ankit Varshneya']",['Drama'],"October 31, 2024 (India)",['Hindi'],['Aditya Watts Films Private Limited']
Rare,,,['Sourabh Vyas'],['Sourabh Vyas'],"['Padam Bhola', 'Piyush Mishra', 'Jay Parashar', 'Heital Puniwala', 'Anamika Singh']","['Drama', 'Thriller']","November 1, 2024 (India)",['Hindi'],['Buzzmore Media']
Rangeela Daaruwala,,,['Sanjiv R. Singh'],['Anand Rao'],"['Amit Singh', 'Ganga Adhikari', 'Sunil Pal', 'Pallavi Singh Rajput', 'Satyajeet Rajput', 'Ashoka Thackur']",['Comedy'],"November 9, 2024 (India)",['Hindi'],[]
Muhnochwa,,,[],[],[],['Horror'],"November 11, 2024 (India)",['Hindi'],[]
Prachand,,,['Sushant Panda'],"['Sushant Panda', 'Saurabh M. Pandey']","['Pitobash', 'Manoj Mishra', 'Ananth Mahadevan', 'Prakruti Mishra', 'Atul Srivastava', 'Jayjeet Das', 'Pallavi Subhash Shirke', 'Sukant Rath', 'Dinesh Nag', 'Usha Rani Tandey', 'Tushar Acharya', 'Amit Kumar Sahu', 'Veer']",['Thriller'],"November 11, 2024 (India)",['Hindi'],['Nirmal Jaiswal Productions']
Perfect Valentine Gift,,,['Sanjay Raj'],"['Manu Parashar', 'Sanjay Raj', 'Mahesh Shah']","['Richa Singh Chauhan', 'Sourav Kumar Thakur', 'Amit Tiku', 'Shashi Ankit Mudgal', 'Aakriti Chopra', 'Sujeet Kumar', 'Mridul Aggarwal', 'Deepanshu Bhardwaj', 'Prince Bhatia', 'Vikky Choudhary', 'Monika', 'Jagriti Reigns', 'Hardik Saini']",['Thriller'],"November 12, 2024 (India)",['Hindi'],"['Getintofilm', 'Phoenix Creations']"
A Real Encounter,,6.4,['Sabir Shaikh'],['Pradip Churiwal'],"['Amrit Dujari', 'Bratuti Ganguly', 'Ehsan Khan', 'Mushtaq Khan', 'Shahbaaz Khan', 'Raza Murad', 'Rishikesh Tiwari', 'Akhilesh Verma']",['Action'],"November 15, 2024 (India)",['Hindi'],['The Macniell Engineering']
No Survival Without Oxygen,,9.6,['Shoib Nikash Shah'],['Shoib Nikash Shah'],"['Shoib Nikash Shah', 'Namita Lal', 'Hussein Khan', 'Satish Bhat', 'Azmat Khwaja']",['Drama'],"November 15, 2024 (India)",['Hindi'],['Rahat Kazmi Film Studios']
The Little Thief,,,['J P Sharma'],['J P Sharma'],"['Parnika Chandok', 'Charnjeet Kaur', 'Raju Khan', 'Saavi Rajput', 'Siddhant Saroj', 'Ayesha Shaikh', 'Gajal Sharma', 'J P Sharma', 'Sandeep Sharma', 'Sunita Shirole', 'Prashant Shrivastav', 'Bipin Bihari Singh', 'Gabbar Singh', 'Trilokchander Singh', 'Ziya Singh', 'Poonam Tiwari', 'Ambika Vani', 'Abhay Pratap Singh Yadav']",['Drama'],"November 18, 2024 (India)",['Hindi'],[]
Pyre,,9.4,['Vinod Kapri'],['Vinod Kapri'],"['Padam Singh', 'Hira Devi', 'Subhash Chandra', 'Shubham Chaudhary', 'Sadab Khan', 'Alok Verma', 'Gopa Nayal', 'Deewan Kanwal', 'Jaya Shah', 'Pushpa Pandey']",['Drama'],"November 19, 2024 (Estonia)",['Hindi'],['Bhagirathi Films']
Kya Ukhaad Loge?,,,[],[],['Khushi Shah'],['Crime'],"November 20, 2024 (India)",['Hindi'],[]
Suswagatam Khushamadeed,,7.4,['Dhiraj Kumar'],"['Manu Rishi Chadha', 'Manish Kishore']","['Arun Bali', 'Manu Rishi Chadha', 'Sajjad Delafrooz', 'Isabelle Kaif', 'Kamal', 'Rajkumar Kanojia', 'Meghna Malik', 'Neela Mulherkar', 'Shruti Panwar', 'Pulkit Samrat', 'Rajesh Sharma', 'Prashant Singh Shaurya', 'Priyanka Singh', 'Rituraj Singh', 'Mehul Surana', 'Sahil Vaid', 'Abhimanyu Yadav']",['Comedy'],"November 22, 2024 (India)",['Hindi'],"['Insite India', 'Insite India', 'Yellow Ant Productions']"
