title,duration,imdb_rating,directors,writers,genres,release_date,languages,production_companies,actor,actress
The Crew,01:58:00,5.8,['Rajesh A Krishnan'],"['Nidhi Mehra', 'Mehul Suri']","['Comedy', 'Drama']",2024-03-29,['Hindi'],"['Anil Kapoor Film Company', 'Balaji Films']","['Diljit Dosanjh', 'Kapil Sharma', 'Saswata Chatterjee', 'Rajesh Sharma', 'Garima Yajnik', 'Kulbhushan Kharbanda', 'Ramakant Dayma', 'Shivam Khanna', 'Mohit Gupta', 'Ivan Rodrigues']","['Tabu', 'Kareena Kapoor', 'Kriti Sanon', 'Trupti Khamkar', 'Charu Shankar', 'Heital Puniwala', 'Pooja Bhamrrah', 'Maeha Sharma']"
Swatantra Veer Savarkar,02:56:00,7.7,['Randeep Hooda'],"['Randeep Hooda', 'Utkarsh Naithani']","['Docudrama', 'Biography', 'Drama']",2024-03-22,"['Hindi', 'Marathi']","['Anand Pandit Motion Pictures', 'Avak Films', 'Legend Global Studio']","['Randeep Hooda', 'Apinderdeep Singh', 'Amit Sial', 'Mark Bennington', 'Russell Geoffrey Banks', 'David Michael Harrison', 'Chetan Swaroop Tirdia', 'Richard Bhakti Klein', 'Biswarup Mondal', 'Ed Robinson', 'Krishna Bhatt', 'Sal Yusuf']","['Ankita Lokhande', 'Emily R. Acland', 'Carl A. Harte', 'Hella Stichlmair']"
Welcome Wedding,02:00:00,5.2,['Aanand Raut'],['Sachindra Sharma'],['Comedy'],2024-03-29,['Hindi'],['Vikash Film International'],"['Rajpal Naurang Yadav', 'Raju Kher', 'Arun Bakshi', 'Sahil Kohli', 'Milind Prasad', 'Jay Mishra', 'Rohit Raj', 'Rajesh Singh', 'Darshan Jariwala', 'Kishan Bhan']","['Rakhi Sawant', 'Komal Jha', 'Farida Dadi', 'Manisha Kumari', 'Prakashika Naik', 'Riyana Shukla', 'Preeti Mishra']"
Patna Shukla,02:05:00,5.6,"['Vivek Budakoti', 'Rajendra Tiwari']","['Sameer Arora', 'Vivek Budakoti']","['Legal Drama', 'Drama']",2024-03-29,['Hindi'],['Zeal Z Entertainment services'],"['Manav Vij', 'Satish Kaushik', 'Raju Kher', 'Jatin Goswami', 'Dayashankar Pandey', 'Ambrish Saxena', 'Ishan Saxena']","['Anushka Kaushik', 'Rio Kapadia', 'Palak Jain', 'Sushmita Mukherjee', 'Nandini Ratley', 'Rajshree Thakkar']"
Bengal 1947,02:09:00,6.9,['Akashaditya Lama'],['Akashaditya Lama'],['Drama'],2024-03-29,['Hindi'],"['Comfed Productions', 'Think Tank Global']","['Ankur Armam', 'Harish Bhimani', 'Rajesh Bonik', 'Yogendra Choubey', 'Atul Gangwar', 'Aditya Lakhia', 'Pramod Pawar', 'Anil Rastogi', 'Vikram TDR', 'Vevek Upadyay']","['Devoleena Bhattacharjee', 'Pooja Kankate', 'Sohaila Kapur', 'Falaq Rahi', 'Surabhi Krishna Srivastava']"
Dukaan,02:02:00,7.6,"['Siddharth Singh', 'Garima Wahal']","['Siddharth Singh', 'Garima Wahal']",['Drama'],2024-04-05,"['Hindi', 'English', 'Gujarati']","['Kalamkaar Picture Productions', 'Waveband Productions']","['Insane Ashraf', 'Vrajesh Hirjee', 'Sikandar Kher', 'Piyush Kumar', 'Soham Majumdar', 'Hridansh Parekh', 'Romanch Soni', 'Bilal Özel']","['Monika Panwar', 'Bhoomika Meena', 'Shreya Sharma', 'Monali Thakur', 'Anannya Vaidya']"
Ek Kori Prem Katha,02:09:00,6.4,['Cchinmay P Purohit'],"['Nishant Bhardwaj', 'Arvind Chaudhary', 'Gayatri Manish']",['Drama'],2024-04-05,['Hindi'],['Kenilworth Film Productions'],"['Akshay Oberoi', 'Raj Babbar', 'Darshan Jariwala', 'Ashutosh Kushwaha', 'Murali Mali', 'Mukesh S. Bhatt', 'Bharat Jha', 'Alok Pandey']","['Khanak Budhiraja', 'Poonam Dhillon', 'Gwen Hussein', 'Sarah Lockett', 'Richa Amberr', 'Jiya Bharti', 'Mamta']"
One Last Time,01:22:00,7.0,['Mohinder Pratap Singh'],['Mohinder Pratap Singh'],['Crime'],2024-04-07,['Hindi'],['Mandaliwala Films'],"['Boloram Das', 'Amitosh Nagpal', 'K.J. Singh']","['Gita Guha', 'Bhawsheel Singh Sahni', 'Poornanand Wandhekar']"
Bade Miyan Chote Miyan,02:43:00,3.8,['Ali Abbas Zafar'],"['Aditya Basu', 'Vashu Bhagnani', 'Suraj Gianani']","['Action Epic', 'Artificial Intelligence', 'Globetrotting Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",2024-04-11,['Hindi'],"['AAZ Films', 'Pooja Entertainment & Films']","['Akshay Kumar', 'Prithviraj Sukumaran', 'Tiger Shroff', 'Sonakshi Sinha', 'Ronit Roy', 'Bijay Anand', 'Shahab Ali', 'Zina Esepciuc', 'Manish Chaudhari', 'Tahirr Aashhraf', 'James Matheson', 'Pawan Chopra']","['Alaya F', 'Manushi Chhillar', 'Yasmine Alice', 'Deshna Dugad', 'Diya Jandu', 'Bijou Thaangjam']"
Maidaan,03:01:00,8.0,['Amit Ravindernath Sharma'],"['Akash Chawla', 'Sidhant Mago', 'Saiwyn Quadras']","['Docudrama', 'Period Drama', 'Soccer', 'Biography', 'Drama', 'History', 'Sport']",2024-04-10,['Hindi'],"['Bayview Projects', 'FreshLime Films', 'Zee Studios']","['Ajay Devgn', 'Gajraj Rao', 'Rudranil Ghosh', 'Baharul Islam', 'Maxx Taylor', 'Toplica Milan Dunjic', 'Amartya Ray', 'Raphael Jose', 'Sammy Jonas Heaney', 'Peter Daniel Adams', 'Arnob Khan Akib', 'Insane Ashraf']","['Priyamani', 'Devyansh Tapuriah', 'Nitanshi Goel', 'Meena Patel', 'Shivangi Bhardwaj']"
Silence 2,02:22:00,6.2,['Aban Bharucha Deohans'],['Aban Bharucha Deohans'],"['Crime', 'Drama', 'Thriller']",2024-04-16,['Hindi'],"['Candid Creations', 'Zee Studios']","['Manoj Bajpayee', 'Dinker Sharma', 'Sahil Vaid', 'Ankit Bhardwaj', 'Vaquar Shaikh', 'Chetan Sharma', 'Padam Bhola', 'Surendra Kumar Bajiya', 'Akshay Dandekar', 'Ankit Sharma']","['Parul Gulati', 'Prachi Desai', 'Shruti Bapna', 'Maahi Jain', 'Ishika Gagneja', 'Sujata Mogal', 'Nidhi Punmiya', 'Khushbu Patariya']"
Do Aur Do Pyaar,02:20:00,6.6,['Shirsha Guha Thakurta'],"['Amrita Bagchi', 'Eisha Chopra', 'Suprotim Sengupta']","['Comedy', 'Drama', 'Romance']",2024-04-19,['Hindi'],"['Applause Entertainment Ltd.', 'Ellipsis Entertainment', 'Post Cartel']","['Pratik Gandhi', 'Sendhil Ramamurthy', 'Thalaivasal Vijay', 'Kumaradas T N', 'S Subrahmoniam', 'Akshay Bhagat', 'Nambi. P', 'Arun Ajikumar', 'K. Rajan']","['Vidya Balan', ""Ileana D'Cruz"", 'Rekha Kudligi', 'Hitha Chandrashekar', 'Dipika Pandey', 'Sheeja Shetty', 'Kamala']"
