title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
What a Kismat,PT1H47M,,['Mohan Azaad'],['Mohan Azaad'],"['Bhavana Balsawar', 'Riya Choudhary', 'Bharat Dabholkar', 'Yudhvir Dahiya', 'Atul Dwivedi', 'Pankaj Kalra', 'Srikant Maski', 'Anand Mishra', 'Vaishnavi Patwardhan', 'Mansi Sehgal', 'Tiku Talsania']","['Comedy', 'Drama']","March 22, 2024 (India)",['Hindi'],"['AKHILESH RAI PRODUCTION', 'R G FILMS']"
The Silent Prayer,PT53M,,['Senthil Vinu'],['Senthil Vinu'],"['Anam Kaur', 'Samarjit Singh Mahajan', 'Amitjodeep Singh', 'Simran Aks', 'Khalsa Arjun Singh', 'Tharun Thanigaivel']",['Drama'],"March 22, 2024 (India)","['Hindi', 'English', 'Tamil']",['Palampur Talkies']
The Pandemic,PT1H56M,,['Bhushan Mahadani'],"['Aparna Mahadani', 'Bhushan Mahadani']","['Ashutosh', 'Aparna Mahadani', 'Bhushan Mahadani', 'Sarah Mahadani', 'Abhinandan Sekhri', 'Pratik Sinha']",['Documentary'],"March 30, 2024 (India)",['Hindi'],[]
Swarth Se Pare - Illimitable Self,PT48M,,['Sourav Sarkar'],[],['Anil Kumar Kundra'],['Documentary'],"April 1, 2024 (India)",['Hindi'],['Neetu Tripathi']
Mera naam ullhas hai part 2 (bachelor),PT1H,,['Pandurang Revankar Ullhas'],['Pandurang Revankar Ullhas'],"['Aastha', 'Kashish Chaudhary', 'Iqra', 'Ullhas Pandurang', 'Pratiksha', 'Preeti', 'Ria', 'Shaurya', 'Sonali']",['Biography'],"April 5, 2024 (India)",['Hindi'],['Shri Films']
Tendrils,PT13H19M,,"['Gaurav Gupta', 'Aashu Kumar']",['Gaurav Gupta'],"['Gaurav Gupta', 'Nikhil Kumar', 'Dev Singh', 'Shubham Singh']",['Drama'],"April 21, 2024 (India)",['Hindi'],['Khyaali Pulav Films']
Maya-The Truth,PT15M,,['Neha Laaj'],['Naeem Tahir'],"['Fahad Asad', 'Naina Gill', 'Mahi Zaal']","['Drama', 'Romance']","May 4, 2024 (United Arab Emirates)",['Hindi'],['Redwood Productions']
Jeevan Ki Jung,PT1H57M,,[],['Dr. Balkrishna'],"['Baby Imran Khan', 'Rahul Roy']",['Drama'],"May 8, 2024 (India)",['Hindi'],['Imperial Films and Studio']
Rivalry,PT1H15M,,['Azijul Haque'],"['Azijul Haque', 'Suman Sourav Sharma']","['Azijul Haque', 'Jayash Jain', 'Pall Kashyap', 'Suman Sourav Sharma', 'Vinit Kumar Yadav']",[],"May 12, 2024 (India)",['Hindi'],[]
God Must Die,PT1H44M,,['Mustajabuddin Malik'],['Mustajabuddin Malik'],"['Sandeep Datta Gupta', 'Mithun', 'Sri Hari Parakaram', 'Adeep Sethia', 'Amog Sharma', 'Priyanka Sharma', 'Rashmi Singh', 'Sandeep Kartar Singh', 'Bhupender Tyagi', 'Saloni Tyagi', 'Gulshan Waliya']","['Drama', 'Thriller']","May 20, 2024 (France)",['Hindi'],['Faces Media House']
The Super Husband,PT1H8M,,['Shahnawaz Baqal'],['Shahnawaz Baqal'],"['Parthaa Akerkar', 'Master Akshit', 'Moufis Ali', 'Shahnawaz Baqal', 'Aafak Bhai', 'Kiran Kanwar', 'Randhir Kashap', 'Sahil Multy Khan', 'Mubashir', 'Kartik Raguvanshi', 'Harleen Rekhi', 'Jaffar Aalam Sayed', 'Altaf Siddi', 'Deepak Singh', 'Sujata']",['Drama'],"May 24, 2024 (India)",['Hindi'],['Rufy Khan Productions']
